Year,President,Term,Democrat,Second Term
2019,Trump,Trump 1,0,0
2018,Trump,Trump 1,0,0
2017,Trump,Trump 1,0,0
2016,Obama,Obama 2,1,1
2015,Obama,Obama 2,1,1
2014,Obama,Obama 2,1,1
2013,Obama,Obama 2,1,1
2012,Obama,Obama 1,1,0
2011,Obama,Obama 1,1,0
2010,Obama,Obama 1,1,0
2009,Obama,Obama 1,1,0
2008,W_Bush,W_Bush 2,0,1
2007,W_Bush,W_Bush 2,0,1
2006,W_Bush,W_Bush 2,0,1
2005,W_Bush,W_Bush 2,0,1
2004,W_Bush,W_Bush 1,0,0
2003,W_Bush,W_Bush 1,0,0
2002,W_Bush,W_Bush 1,0,0
2001,W_Bush,W_Bush 1,0,0
2000,Clinton,Clinton 2,1,1
1999,Clinton,Clinton 2,1,1
1998,Clinton,Clinton 2,1,1
1997,Clinton,Clinton 2,1,1
1996,Clinton,Clinton 1,1,0
1995,Clinton,Clinton 1,1,0
1994,Clinton,Clinton 1,1,0
1993,Clinton,Clinton 1,1,0
1992,HW_Bush,HW_Bush 1,0,0
1991,HW_Bush,HW_Bush 1,0,0
1990,HW_Bush,HW_Bush 1,0,0
1989,HW_Bush,HW_Bush 1,0,0
1988,Reagan,Reagan 2,0,1
1987,Reagan,Reagan 2,0,1
1986,Reagan,Reagan 2,0,1
1985,Reagan,Reagan 2,0,1
1984,Reagan,Reagan 1,0,0
1983,Reagan,Reagan 1,0,0
1982,Reagan,Reagan 1,0,0
1981,Reagan,Reagan 1,0,0
1980,Carter,Carter 1,1,0
1979,Carter,Carter 1,1,0
1978,Carter,Carter 1,1,0
1977,Carter,Carter 1,1,0
1976,Ford,NixonFord,0,1
1975,Ford,NixonFord,0,1
1974,Ford,NixonFord,0,1
1973,Nixon,NixonFord,0,1
1972,Nixon,Nixon 1,0,0
1971,Nixon,Nixon 1,0,0
1970,Nixon,Nixon 1,0,0
1969,Nixon,Nixon 1,0,0
1968,LBJ,LBJ 2,1,1
1967,LBJ,LBJ 2,1,1
1966,LBJ,LBJ 2,1,1
1965,LBJ,LBJ 2,1,1
1964,LBJ,JFK_LBJ,1,0
1963,LBJ,JFK_LBJ,1,0
1962,JFK,JFK_LBJ,1,0
1961,JFK,JFK_LBJ,1,0
1960,Eisenhower,Eisenhower 2,0,1
1959,Eisenhower,Eisenhower 2,0,1
1958,Eisenhower,Eisenhower 2,0,1
1957,Eisenhower,Eisenhower 2,0,1
1956,Eisenhower,Eisenhower 1,0,0
1955,Eisenhower,Eisenhower 1,0,0
1954,Eisenhower,Eisenhower 1,0,0
1953,Eisenhower,Eisenhower 1,0,0
1952,Truman,Truman 2,1,1
1951,Truman,Truman 2,1,1
1950,Truman,Truman 2,1,1
1949,Truman,Truman 2,1,1
1948,Truman,Truman 1,1,0
1947,Truman,Truman 1,1,0
